Title,Author,Year,Source
Entretiens philosophiques et politiques,Jacques-Henri Meister,1800,Wikidata
Adèle et d’Abligny,Pigault-Lebrun,1800,Wikidata
Métusko,Pigault-Lebrun,1800,Wikidata
Monsieur de Klinglin,Pigault-Lebrun,1800,Wikidata
Théodore,Pigault-Lebrun,1800,Wikidata
Eugénio et Virginia,Louise Brayer de Saint-Léon,1800,Wikidata
Les mères rivales,Félicité de Genlis,1800,Wikidata
Souvenirs de mylady Cartemane,Antoine Diannyère,1800,Wikidata
Delphine,Germaine de Staël,1802,Wikidata
Atala,François-René de Chateaubriand,1802,Wikidata
Amélie Mansfield,Sophie Cottin,1802,Wikidata
Mademoiselle de Clermont,Félicité de Genlis,1802,Wikidata
Valérie ou lettres de Gustave de Linar à Ernest,Barbara Juliane von Krüdener,1803,Wikidata
Oberman : lettres,Étienne Pivert de Senancour,1804,Wikidata
Manuscrit trouvé à Saragosse,Jan Potocki,1805,Wikidata
"Mathilde, ou Mémoires tirés de l'histoire des croisades",Sophie Cottin,1805,Wikidata
Élisabeth ou les Exilés de Sibérie,Sophie Cottin,1806,Wikidata
Contes moraux pour l’instruction de la jeunesse,Jeanne-Marie Leprince de Beaumont,1806,Wikidata
La Belle et la Bête,Jeanne-Marie Leprince de Beaumont,1806,Wikidata
Les Martyrs,François-René de Chateaubriand,1809,Wikidata
La Marquise de Gange,Marquis de Sade,1813,Wikidata
Adolphe,Benjamin Constant,1816,Wikidata
François Ier et Madame de Chateaubriand,Augustine Gottis,1816,Wikidata
Marie,Marceline Desbordes-Valmore,1819,Wikidata
La Somnambule,Eugène Scribe,1819,Wikidata
Lettre à monsieur Chauvet sur l'unité de temps et de lieu dans la tragédie,Alessandro Manzoni,1820,Wikidata
Lord Ruthwen ou Les Vampires,Cyprien Bérard,1820,Wikidata
Le Neveu de Rameau,Denis Diderot,1821,Wikidata
Lucette,Marceline Desbordes-Valmore,1821,Wikidata
Sarah,Marceline Desbordes-Valmore,1821,Wikidata
Adrienne,Marceline Desbordes-Valmore,1821,Wikidata
La Femme vampire,Ernst Theodor Amadeus Hoffmann,1821,Wikidata
L'Héritière de Birague,Honoré de Balzac,1822,Wikidata
Trilby ou le Lutin d'Argail,Charles Nodier,1822,Wikidata
Frère Jacques,Paul de Kock,1822,Wikidata
"La dernière fée, ou La nouvelle lampe merveilleuse",Honoré de Balzac,1823,Wikidata
Vie de Rossini,Stendhal,1824,Wikidata
Le Centenaire ou les Deux Beringheld,Honoré de Balzac,1824,Wikidata
Cinq-Mars,Alfred de Vigny,1826,Wikidata
Les Aventures du dernier Abencerage,François-René de Chateaubriand,1826,Wikidata
Armance,Stendhal,1827,Wikidata
Les Natchez,François-René de Chateaubriand,1827,Wikidata
Les Chouans,Honoré de Balzac,1829,CIDRE
Vanina Vanini,Stendhal,1829,Wikidata
L’Âne mort et la femme guillotinée,Jules Janin,1829,Wikidata
Gobseck,Honoré de Balzac,1830,CIDRE
La Maison du chat-qui-pelote,Honoré de Balzac,1830,CIDRE
La Vendetta,Honoré de Balzac,1830,CIDRE
Le Bal de Sceaux,Honoré de Balzac,1830,CIDRE
Une double famille,Honoré de Balzac,1830,CIDRE
Le Rouge et le Noir,Stendhal,1830,Wikidata
El Verdugo,Honoré de Balzac,1830,Wikidata
La Paix du ménage,Honoré de Balzac,1830,Wikidata
Indiana,George Sand,1831,CIDRE
L'Enfant maudit,Honoré de Balzac,1831,CIDRE
La Peau de chagrin,Honoré de Balzac,1831,CIDRE
Maître Cornélius,Honoré de Balzac,1831,CIDRE
Le Chef-d'œuvre inconnu,Honoré de Balzac,1831,Wikidata
Atar-Gull,Eugène Sue,1831,Wikidata
La Cafetière,Théophile Gautier,1831,Wikidata
La Grande Bretèche,Honoré de Balzac,1831,Wikidata
La Femme de trente ans,Honoré de Balzac,1832,CIDRE
Le Colonel Chabert,Honoré de Balzac,1832,CIDRE
Les Célibataires - Le Curé de Tours,Honoré de Balzac,1832,CIDRE
Louis Lambert,Honoré de Balzac,1832,CIDRE
Valentine,George Sand,1832,CIDRE
Le Curé de Tours,Honoré de Balzac,1832,Wikidata
La Duchesse de Langeais,Honoré de Balzac,1832,Wikidata
Stello,Alfred de Vigny,1832,Wikidata
Léa,Jules Barbey d’Aurevilly,1832,Wikidata
